"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.341434437E1,1.770360768E-2,-1.665146798E-1,3.375773430E-1
2.351445637E1,-1.652000248E-1,-2.678623199E-1,-6.545726210E-2
2.361456737E1,-4.382344708E-2,-5.099813342E-1,-3.588303924E-1
2.371467937E1,4.179057479E-2,6.298476458E-1,-7.281919122E-1
2.381479046E1,2.541315854E-1,2.254394770E0,-2.625327110E-1
2.391490146E1,6.943372488E-1,3.124020576E0,-2.150357217E-1
2.401501346E1,9.816150069E-1,3.403837919E0,-2.494514547E-2
2.411512546E1,1.110620618E0,4.690395832E0,-5.434533358E-1
2.421523646E1,4.171210229E-1,7.819736600E-1,-7.708261013E-1
2.431534846E1,2.094513737E-2,1.644456506E0,-7.823665738E-1
2.441546046E1,-4.672400057E-1,2.546449006E-1,-5.366857052E-1
2.451557146E1,5.355845094E-1,-8.610639488E-4,7.097269893E-1
2.461568346E1,-3.299784958E-1,2.603691518E-1,-5.495827198E-1
2.471579546E1,-1.041801125E-1,3.647330999E-1,-1.248381287E-1
2.481590796E1,2.747927010E-1,-2.106138766E-1,7.548270822E-1
2.491601896E1,-5.731674433E-1,-1.257946044E-1,-8.803577423E-1
2.501613096E1,1.524160206E-1,9.219709039E-1,1.862388849E-1
2.511624296E1,-7.111538202E-2,-3.912163079E-1,2.995041385E-2
2.521635396E1,-4.976034462E-1,-4.121655226E-1,-7.975217700E-1
2.531646596E1,7.538099289E-1,-8.029503822E-1,7.906397581E-1
2.541657796E1,8.456714451E-2,-1.385412455E0,-1.402414143E-1
2.551668996E1,3.532522321E-1,-6.913003325E-1,-4.438540339E-1
2.561680096E1,4.627086222E-1,-1.419783592E0,6.574869156E-2
2.571691296E1,-4.262070060E-1,-1.963228464E0,-2.126146555E-1
2.581702508E1,-8.169431090E-1,-2.776254654E0,-6.331830025E-1
2.591713708E1,-6.744371653E-1,-1.327809095E0,-7.408588529E-1
2.601724808E1,-4.950968325E-1,-9.934072495E-1,-9.025315642E-1
2.611736008E1,-2.470589131E-1,-3.162073791E-1,-7.742770314E-1
2.621747208E1,-2.017528862E-1,1.059660465E-1,-3.922890127E-1
2.631758308E1,-8.933278918E-2,1.841393262E-1,-1.244420186E-1
2.641769508E1,-1.774039716E-1,3.655889034E-1,-1.256966293E-1
2.651780708E1,-1.125559509E-1,1.251319498E-1,-3.701768816E-2
2.661791808E1,-7.937707007E-2,5.440912843E-1,-3.650833294E-2
2.671803008E1,-5.173010752E-2,1.746977121E-1,-2.120524086E-2
2.681814196E1,-7.312513143E-2,-1.217742339E-1,4.516341258E-3
2.691825396E1,-4.871460423E-2,-1.454544961E-1,-1.076896787E-1
2.701836496E1,-4.921779782E-2,-2.787769139E-1,-2.083825469E-1
2.711847696E1,-1.332334131E-1,-8.832739592E-1,-9.432509542E-2
2.721858896E1,-7.953221351E-2,-9.278489947E-1,-3.592342138E-2
2.731869996E1,-1.193951592E-1,-6.713811755E-1,3.872144967E-2
